source,target,current_dag,sensitivity_dag
cd40,label,True,True
cd40,symptom,True,True
cd80,cd40,True,True
gender,wtkg,True,True
hemo,age,True,True
hemo,drugs,True,True
hemo,gender,True,True
hemo,homo,True,True
homo,cd80,True,True
homo,drugs,True,True
homo,gender,True,True
homo,symptom,True,True
preanti,race,True,True
preanti,strat,True,True
preanti,z30,True,True
race,homo,True,True
strat,hemo,True,True
strat,oprior,True,True
symptom,karnof,True,True
trt,label,False,True
z30,age,True,True
z30,label,True,True
z30,oprior,True,True
