cd40,trt,z30,label,probability
cd40_1,0,0,0,0.6772525849335302
cd40_1,0,0,1,0.32274741506646965
cd40_1,0,1,0,0.46359959555106167
cd40_1,0,1,1,0.5364004044489383
cd40_1,1,0,0,0.7388973966309341
cd40_1,1,0,1,0.2611026033690658
cd40_1,1,1,0,0.6376875551632833
cd40_1,1,1,1,0.3623124448367167
cd40_1,2,0,0,0.7481536189069423
cd40_1,2,0,1,0.25184638109305757
cd40_1,2,1,0,0.5485338725985844
cd40_1,2,1,1,0.45146612740141556
cd40_1,3,0,0,0.6828737300435413
cd40_1,3,0,1,0.3171262699564586
cd40_1,3,1,0,0.6796407185628742
cd40_1,3,1,1,0.3203592814371258
cd40_2,0,0,0,0.6709633649932157
cd40_2,0,0,1,0.3290366350067842
cd40_2,0,1,0,0.6616580310880829
cd40_2,0,1,1,0.3383419689119171
cd40_2,1,0,0,0.8989145183175034
cd40_2,1,0,1,0.10108548168249659
cd40_2,1,1,0,0.8430571761960326
cd40_2,1,1,1,0.15694282380396732
cd40_2,2,0,0,0.9450784593437945
cd40_2,2,0,1,0.05492154065620542
cd40_2,2,1,0,0.8266272189349112
cd40_2,2,1,1,0.17337278106508874
cd40_2,3,0,0,0.8590333716915995
cd40_2,3,0,1,0.14096662830840045
cd40_2,3,1,0,0.7351868732907931
cd40_2,3,1,1,0.2648131267092069
cd40_3,0,0,0,0.8336831059811123
cd40_3,0,0,1,0.16631689401888775
cd40_3,0,1,0,0.6607795371498173
cd40_3,0,1,1,0.33922046285018265
cd40_3,1,0,0,0.8840503672612802
cd40_3,1,0,1,0.11594963273871986
cd40_3,1,1,0,0.8450210378681626
cd40_3,1,1,1,0.15497896213183732
cd40_3,2,0,0,0.9176795580110497
cd40_3,2,0,1,0.08232044198895028
cd40_3,2,1,0,0.80605738575983
cd40_3,2,1,1,0.19394261424017004
cd40_3,3,0,0,0.8646408839779006
cd40_3,3,0,1,0.13535911602209946
cd40_3,3,1,0,0.8367799113737076
cd40_3,3,1,1,0.16322008862629248
