query_variable,state,probability,evidence
label,0,0.7555417378047649,{}
label,1,0.2444582621952351,{}
label,0,0.7555417378047649,"{""trt"": 0}"
label,1,0.2444582621952351,"{""trt"": 0}"
label,0,0.7555417378047649,"{""trt"": 1}"
label,1,0.2444582621952351,"{""trt"": 1}"
label,0,0.7555417378047649,"{""trt"": 2}"
label,1,0.2444582621952351,"{""trt"": 2}"
label,0,0.7555417378047649,"{""trt"": 3}"
label,1,0.2444582621952351,"{""trt"": 3}"
label,0,0.8090894144931147,"{""z30"": 0}"
label,1,0.19091058550688536,"{""z30"": 0}"
label,0,0.7103160473112818,"{""z30"": 1}"
label,1,0.28968395268871805,"{""z30"": 1}"
label,0,0.6446564637171407,"{""cd40"": ""cd40_1""}"
label,1,0.35534353628285925,"{""cd40"": ""cd40_1""}"
label,0,0.7987590234507681,"{""cd40"": ""cd40_2""}"
label,1,0.20124097654923193,"{""cd40"": ""cd40_2""}"
label,0,0.8253050495358357,"{""cd40"": ""cd40_3""}"
label,1,0.17469495046416433,"{""cd40"": ""cd40_3""}"
