variable,parents,number_of_parents,states,parent_configurations,cpt_entries,cpd_available
age,"hemo, z30",2,3,4,12,True
wtkg,gender,1,3,2,6,True
hemo,strat,1,2,3,6,True
homo,"hemo, race",2,2,4,8,True
drugs,"hemo, homo",2,2,4,8,True
karnof,symptom,1,2,2,4,True
oprior,"strat, z30",2,2,6,12,True
z30,preanti,1,2,4,8,True
preanti,-,0,4,1,4,True
race,preanti,1,2,4,8,True
gender,"hemo, homo",2,2,4,8,True
strat,preanti,1,3,4,12,True
symptom,"cd40, homo",2,2,6,12,True
cd40,cd80,1,3,3,9,True
cd80,homo,1,3,2,6,True
trt,-,0,4,1,4,True
label,"cd40, z30",2,2,6,12,True
