source,target,bootstrap_stability,bootstrap_percentage,reverse_stability,reverse_percentage,support_category
gender,wtkg,0.99,99.0,0.0,0.0,VERY_STABLE
homo,gender,0.96,96.0,0.0,0.0,VERY_STABLE
cd40,label,0.94,94.0,0.0,0.0,VERY_STABLE
homo,drugs,0.88,88.0,0.0,0.0,VERY_STABLE
preanti,z30,0.84,84.0,0.0,0.0,VERY_STABLE
preanti,strat,0.77,77.0,0.0,0.0,VERY_STABLE
hemo,gender,0.77,77.0,0.0,0.0,VERY_STABLE
hemo,age,0.73,73.0,0.0,0.0,STABLE
hemo,drugs,0.72,72.0,0.0,0.0,STABLE
homo,symptom,0.64,64.0,0.0,0.0,STABLE
z30,label,0.55,55.00000000000001,0.0,0.0,STABLE
cd40,symptom,0.5,50.0,0.0,0.0,STABLE
cd80,cd40,0.0,0.0,0.68,68.0,WEAK
hemo,homo,0.0,0.0,0.7,70.0,WEAK
preanti,race,0.0,0.0,0.0,0.0,WEAK
homo,cd80,0.0,0.0,0.0,0.0,WEAK
strat,hemo,0.0,0.0,0.0,0.0,WEAK
race,homo,0.0,0.0,0.62,62.0,WEAK
strat,oprior,0.0,0.0,0.0,0.0,WEAK
symptom,karnof,0.0,0.0,0.0,0.0,WEAK
z30,age,0.0,0.0,0.0,0.0,WEAK
z30,oprior,0.0,0.0,0.0,0.0,WEAK
