bootstrap,edges,maximum_indegree,total_cpt_entries,elapsed_seconds
1,22,2,137,1.1119575500488281
2,23,3,144,1.0433812141418457
3,22,2,138,1.106614589691162
4,21,2,137,0.8198850154876709
5,22,2,138,0.790154218673706
6,21,3,138,1.102182388305664
7,23,2,147,1.1304311752319336
8,22,2,136,1.1010308265686035
9,21,2,134,1.0082025527954102
10,22,3,139,1.1054394245147705
11,24,3,161,1.141073226928711
12,21,2,131,0.8567802906036377
13,22,2,137,0.7883660793304443
14,23,3,148,0.9134120941162109
15,24,3,153,2.4326114654541016
16,22,3,143,2.59264874458313
17,23,3,135,2.4963207244873047
18,22,3,136,2.3416316509246826
19,23,2,157,2.694857120513916
20,23,2,144,2.625258207321167
21,22,3,145,2.385559558868408
22,24,3,154,2.828951597213745
23,25,3,163,2.6872410774230957
24,24,3,153,2.8560500144958496
25,24,3,162,2.8297224044799805
26,23,2,150,2.8064610958099365
27,21,2,142,2.415198802947998
28,23,3,147,2.453629970550537
29,21,3,139,2.6319875717163086
30,23,3,142,2.5697293281555176
31,23,2,148,2.5950732231140137
32,22,2,149,2.381831169128418
33,23,3,143,2.642979383468628
34,21,2,139,2.495795249938965
35,22,2,146,2.816047191619873
36,22,2,139,2.3575613498687744
37,21,2,131,2.3923354148864746
38,23,2,134,2.6580214500427246
39,22,3,140,2.6005401611328125
40,23,3,159,2.563854932785034
41,25,3,160,2.8798348903656006
42,21,3,141,2.3933770656585693
43,22,2,135,2.8567941188812256
44,21,3,134,2.3403544425964355
45,23,3,159,2.0584657192230225
46,22,2,150,0.8671021461486816
47,23,3,160,1.1118085384368896
48,19,3,121,0.8757548332214355
49,22,2,152,0.7542803287506104
50,22,2,141,0.7453293800354004
51,22,3,147,0.8757445812225342
52,22,3,170,0.9710097312927246
53,24,2,141,1.2307610511779785
54,24,3,161,0.8983893394470215
55,22,2,141,0.8694455623626709
56,23,2,145,1.0276501178741455
57,23,2,156,0.8142201900482178
58,21,3,131,0.7268471717834473
59,22,2,142,0.8632230758666992
60,24,3,154,0.7765390872955322
61,20,2,131,0.7298932075500488
62,21,2,130,0.7604215145111084
63,23,3,144,0.7788987159729004
64,22,2,144,0.7544078826904297
65,22,2,137,0.8018920421600342
66,24,3,155,0.795011043548584
67,23,3,143,0.7921404838562012
68,22,3,143,0.7897946834564209
69,24,2,174,0.806056022644043
70,24,3,158,0.7913839817047119
71,21,3,144,0.8192439079284668
72,22,3,151,0.7166719436645508
73,21,3,129,0.7360763549804688
74,22,2,141,0.7350654602050781
75,21,2,126,0.7386274337768555
76,23,2,153,0.7702088356018066
77,21,2,136,0.7470901012420654
78,22,2,142,0.7459781169891357
79,21,3,130,0.6877193450927734
80,22,3,133,0.7545163631439209
81,22,2,142,0.7574760913848877
82,23,3,152,0.7357861995697021
83,20,2,126,0.7098617553710938
84,23,3,143,0.8498737812042236
85,22,2,134,0.7496495246887207
86,22,2,142,0.7314338684082031
87,22,3,151,0.7156977653503418
88,24,3,151,0.8067562580108643
89,23,3,163,0.722506046295166
90,23,2,167,0.7417824268341064
91,23,3,151,0.7291233539581299
92,25,2,163,0.8982346057891846
93,25,3,181,0.7943553924560547
94,23,3,160,0.8064258098602295
95,24,3,149,1.0141842365264893
96,23,3,148,1.0088129043579102
97,21,2,144,0.9069192409515381
98,23,2,146,0.9900898933410645
99,22,3,142,0.9025516510009766
100,23,3,151,0.9407198429107666
