source,target,count,stability,stability_percentage
gender,wtkg,99,0.99,99.0
homo,gender,96,0.96,96.0
cd40,label,94,0.94,94.0
homo,drugs,88,0.88,88.0
preanti,z30,84,0.84,84.0
hemo,gender,77,0.77,77.0
preanti,strat,77,0.77,77.0
hemo,age,73,0.73,73.0
hemo,drugs,72,0.72,72.0
homo,hemo,70,0.7,70.0
cd40,cd80,68,0.68,68.0
homo,symptom,64,0.64,64.0
homo,race,62,0.62,62.0
z30,label,55,0.55,55.00000000000001
cd40,symptom,50,0.5,50.0
hemo,race,45,0.45,45.0
z30,oprior,43,0.43,43.0
oprior,z30,42,0.42,42.0
preanti,oprior,41,0.41,41.0
strat,oprior,39,0.39,39.0
gender,race,35,0.35,35.0
race,homo,33,0.33,33.0
strat,age,33,0.33,33.0
cd80,cd40,32,0.32,32.0
drugs,karnof,32,0.32,32.0
hemo,homo,30,0.3,30.0
hemo,preanti,30,0.3,30.0
race,hemo,30,0.3,30.0
symptom,karnof,29,0.29,28.999999999999996
z30,cd40,28,0.28,28.000000000000004
symptom,cd40,27,0.27,27.0
hemo,karnof,25,0.25,25.0
symptom,label,24,0.24,24.0
gender,hemo,23,0.23,23.0
strat,preanti,23,0.23,23.0
symptom,homo,20,0.2,20.0
race,age,18,0.18,18.0
oprior,preanti,17,0.17,17.0
strat,hemo,17,0.17,17.0
z30,age,16,0.16,16.0
z30,preanti,15,0.15,15.0
homo,cd80,14,0.14,14.000000000000002
drugs,hemo,13,0.13,13.0
race,preanti,13,0.13,13.0
age,hemo,12,0.12,12.0
drugs,homo,12,0.12,12.0
cd80,homo,11,0.11,11.0
preanti,race,11,0.11,11.0
strat,karnof,11,0.11,11.0
age,drugs,10,0.1,10.0
hemo,strat,10,0.1,10.0
karnof,symptom,10,0.1,10.0
race,gender,10,0.1,10.0
age,karnof,8,0.08,8.0
preanti,cd40,8,0.08,8.0
age,strat,7,0.07,7.000000000000001
cd40,z30,7,0.07,7.000000000000001
drugs,age,7,0.07,7.000000000000001
hemo,z30,7,0.07,7.000000000000001
z30,hemo,7,0.07,7.000000000000001
z30,race,7,0.07,7.000000000000001
age,race,6,0.06,6.0
homo,age,6,0.06,6.0
karnof,drugs,6,0.06,6.0
strat,cd40,6,0.06,6.0
wtkg,age,6,0.06,6.0
cd40,karnof,5,0.05,5.0
cd40,preanti,5,0.05,5.0
preanti,karnof,5,0.05,5.0
trt,label,5,0.05,5.0
z30,karnof,5,0.05,5.0
cd80,race,4,0.04,4.0
drugs,symptom,4,0.04,4.0
gender,homo,4,0.04,4.0
hemo,symptom,4,0.04,4.0
karnof,cd40,4,0.04,4.0
race,symptom,4,0.04,4.0
z30,gender,4,0.04,4.0
z30,homo,4,0.04,4.0
z30,wtkg,4,0.04,4.0
age,homo,3,0.03,3.0
age,z30,3,0.03,3.0
cd40,strat,3,0.03,3.0
drugs,race,3,0.03,3.0
gender,cd80,3,0.03,3.0
gender,drugs,3,0.03,3.0
karnof,label,3,0.03,3.0
oprior,strat,3,0.03,3.0
preanti,hemo,3,0.03,3.0
race,wtkg,3,0.03,3.0
cd40,oprior,2,0.02,2.0
drugs,gender,2,0.02,2.0
gender,oprior,2,0.02,2.0
hemo,cd80,2,0.02,2.0
hemo,wtkg,2,0.02,2.0
homo,label,2,0.02,2.0
karnof,age,2,0.02,2.0
karnof,preanti,2,0.02,2.0
oprior,karnof,2,0.02,2.0
race,strat,2,0.02,2.0
strat,label,2,0.02,2.0
symptom,drugs,2,0.02,2.0
age,preanti,1,0.01,1.0
age,symptom,1,0.01,1.0
age,wtkg,1,0.01,1.0
cd80,hemo,1,0.01,1.0
drugs,oprior,1,0.01,1.0
drugs,wtkg,1,0.01,1.0
drugs,z30,1,0.01,1.0
gender,karnof,1,0.01,1.0
gender,preanti,1,0.01,1.0
gender,symptom,1,0.01,1.0
hemo,oprior,1,0.01,1.0
homo,preanti,1,0.01,1.0
karnof,race,1,0.01,1.0
karnof,strat,1,0.01,1.0
karnof,wtkg,1,0.01,1.0
oprior,race,1,0.01,1.0
preanti,homo,1,0.01,1.0
race,cd80,1,0.01,1.0
race,drugs,1,0.01,1.0
strat,race,1,0.01,1.0
strat,z30,1,0.01,1.0
symptom,hemo,1,0.01,1.0
symptom,oprior,1,0.01,1.0
symptom,race,1,0.01,1.0
wtkg,gender,1,0.01,1.0
wtkg,karnof,1,0.01,1.0
